id,collection,dc.contributor.author,dc.contributor.author[],dc.contributor.author[en],dc.contributor.editor[],dc.date.issued,dc.date.issued[en],dc.description.abstract[en],dc.identifier.citation,dc.identifier.citation[en],dc.identifier.isbn,dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.publisher,dc.publisher[en],dc.rights.uri[],dc.rights.uri[en],dc.rights[en],dc.source.uri[],dc.source.uri[en],dc.subject.anzsrc[en],dc.subject.marsden[en],dc.subject[en],dc.title,dc.title.alternative[en],dc.title[en],dc.type,dc.type[],dc.type[en],uc.bibnumber[en],uc.number[],uc.number[en],uc.publicationid[],uc.publicationid[en]
"12127","10092/5722","Jenkins, B.||Friend, J.||Midgley, G.",,,,,"2014",,,"Jenkins, B., Friend, J., Midgley, G. (2014) Canterbury Water Management Strategy. London, UK: Operations Research Society Open Event: Shaping Choices in Public Policy - a problem structuring approach, 5 Jun 2014.",,,,"http://hdl.handle.net/10092/10560",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::16 - Studies in Human Society::1605 - Policy and Administration::160507 - Environment Policy||Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050209 - Natural Resource Management",,,,,"Canterbury Water Management Strategy","Conference Contributions - Other",,,,,"238830",,"12652921"
"12222","10092/5722","Heyne, M.||Derrick, D.",,,,,"2014","This paper presents some initial findings regarding the influence of First Language on playing brass instruments. Using ultra- sound imaging of the tongue, vowel production and sustained trombone notes were compared for a New Zealand English and a Tongan speaker. It is suggested that, during trombone play- ing, the tongue shapes used by the Tongan participant pattern with the back vowel /o/ while those used by the New Zealand English player pattern with the centralized KIT vowel (/9/) and schwa (/@/). It is argued that these findings provide preliminary evidence of First Language influence on brass playing.",,"Heyne, M., Derrick, D. (2014) Some initial findings regarding language influence on playing brass instruments. Christchurch, New Zealand: 15th Australasian Speech Science and Technology Conference (SST 2014), 3-5 Dec 2014. 180-183.",,,,"http://hdl.handle.net/10092/10656",,"en",,"University of Canterbury. New Zealand Institute of Language, Brain & Behaviour",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::20 - Language, Communication and Culture::2004 - Linguistics::200404 - Laboratory Phonetics and Speech Science||Field of Research::19 - Studies in the Creative Arts and Writing::1904 - Performing Arts and Creative Writing::190407 - Music Performance",,"laboratory phonology||phonetics||phonetics of music||ultrasound imaging of the tongue (UTI)",,,"Some initial findings regarding language influence on playing brass instruments",,,,,,"239518",,"12654385"
"12318","10092/5722","Webster-Brown, J.G.||Waters, A.S.",,,,,"2014","The management of phosphorous (P) in agricultural run-off currently focuses on trapping P-bearing sediment in riparian zones or settlement ponds. This is based on the common assumption that P is almost entirely bound to suspended particulate material (SPM) in the run-off and immediate receiving waters. In this study, this assumption has been held up to scrutiny, using existing monitoring data for dissolved reactive P (DRP) and total P in the Te Waihora/Lake Ellesmere and Wairewa/Lake Forsyth catchments, and a geochemical modelling approach.
Long term monitoring data for the lakes1 confirms that P has indeed been predominantly bound to SPM in the water column (DRP averaged <10% of total P) over the monitoring period. However, in the tributaries there has been considerably more variability in the fractionation of P, and a higher proportion of DRP. In the Selwyn River, for example, DRP has made up (on average) 50% of the total P concentrations (38 yrs of monthly monitoring data1). In the LII River, DRP has made up 67% of the total P concentrations (19 years of monthly monitoring data1). In the smaller tributaries of Te Waihora, DRP has ranged from 34% (an average for creeks and streams) to 50% (an average for farm drains) of total P, over the 18 years that monitoring data has been collected by students of Lincoln and Canterbury universities2,3. Similar results have been observed in a recent 10 month survey of the tributaries of Wairewa, in which DRP averaged 30-60% of total P. During flood events the P fractionation has changed to favour a greater percentage of SPM-bound P in all tributaries monitored.
Using water chemistry and SPM compositions typical of these lake and tributary environments, the geochemical model PHREEQC has been used to determine principal controls on P binding to SPM. A sensitivity analysis approach was used to establish the role of variables such as the iron oxide content of the SPM, redox conditions, pH and the concentrations of competing ions such as SO4. The potential precipitation of P-phases such as Ca-, Fe- and Mn-phosphates was also considered. While the uptake of P by phytoplankton could not be represented in the geochemical model, the correlation between in total P and chlorophyll-a observed in the long term monitoring data from both lakes1 could be used, together with a mass balance approach, to predict the effect of phytoplankton growth on P fractionation.
It is proposed that this modelling approach can be used to predict the optimal conditions for P-binding to SPM, and therefore help identify the best options for retention and immobilisation of P, before it reaches important water features in a catchment.",,"Webster-Brown J.G., Waters A.S. (2014) Phosphorous from Agricultural Run-off: New insights from Monitoring and Modelling. Blenheim, New Zealand: Water Symposium 2014: Integration - The final frontier, 24-28 November.",,,,"http://hdl.handle.net/10092/10670",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050206 - Environmental Monitoring",,,,,"Phosphorous from Agricultural Run-off: New insights from Monitoring and Modelling","Conference Contributions - Other",,,,,"68024",,"12655542"
"12225","10092/5722","Fisher, M.",,,,,"2014","The claims issues of relevance to this study of Whaingaroa Harbour generally focus
on the management, environmental degradation and alleged cultural desecration of the
Harbour by the Crown and its delegated local authorities—the Raglan County Council
(RCC), the Raglan Harbour Board, the Ministry of Works and Development, the Waikato
Valley Authority (WVA), the Department of Health, and in the last two decades the Waikato
District Council (WDC) and the Waikato Regional Council (WRC). The Tainui o Tainui ki
Whaingaroa or Tainui Awhiro (WAI 125) statement of claim notes that the Crown has
enacted a series of resource management regimes which failed to take into account Tainui
mana and kaitiakitanga. Tainui notes that these regimes had less engagement with the Tainui
community before 1960 but that the Town and Country Planning and the Resource
Management Act (RMA) regimes have in many ways continued the old pattern of limited
engagement. In terms of the environmental degradation of the harbour, Tainui claims that the
Crown has removed the right of Tainui to manage the harbour and allowed the destruction of
kai moana. In addition, they allege that the Crown has allowed the desecration of wahi tapu,
urupa and pa sites by permitting the construction of wind farms, giving greater priority to
mining interests than to tangata whenua and generally making it difficult for Tainui to live on
their tupuna whenua. The Ngati Tamainupo (WAI 775) statement of claim notes that the
Crown has failed to recognise the claimants’ mana and ownership over Whaingaroa Harbour
by delegating management of the harbour and its resources to local authorities. Ngati
Tamainupo also claim that the Crown has failed to protect the claimants’ interests in the
resources contained within Whaingaroa Harbour.",,"Fisher, M. (2014) The Environmental Management of Whaingaroa/Raglan Harbour with a Focus on the Period Since 1970.  Waitangi Tribunal. 231pp..",,,,"http://hdl.handle.net/10092/10679",,"en",,"University of Canterbury. Ngai Tahu Research Centre",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::21 - History and Archaeology::2103 - Historical Studies::210311 - New Zealand History||Field of Research::21 - History and Archaeology::2103 - Historical Studies::210309 - Māori History||Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050205 - Environmental Management",,,,,"The Environmental Management of Whaingaroa/Raglan Harbour with a Focus on the Period Since 1970","Reports",,,,,"242151",,"12654483"
"12126","10092/5722","Jenkins, B.R.",,,,,"2014",,,"Jenkins, B.R. (2014) Collaborative Governance and Accountability. Hobart, Australia: Environment Institute of Australia and New Zealand 2014 Annual Conference, 30-31 Oct 2014.",,,,"http://hdl.handle.net/10092/11257",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050209 - Natural Resource Management",,,,,"Collaborative Governance and Accountability","Conference Contributions - Published",,,,,"238830",,"12652920"
"12673","10092/5722","Derrick, D.||Best, C.T.||Fiasson, R.",,,,,"2015","Co-collection and co-registration of ultrasound images
of the tongue and articulometry data requires
the stabilization of the ultrasound probe relative
to the head using a non-metallic system. Audio,
ultrasound, and articulometry data were recorded
from 11 North American English speakers reading
10 blocks of 25 sentences, speaking for 2 minutes
at a time, spanning a recording time of 45 minutes.
The 95% confidence interval for ultrasound
probe roll relative to head motion was 1.35 , and
2.12 mm for lateral displacement, such that ultrasound
probe displacement is within acceptable rotational
and translational parameters as described
in the HOCUS paper [9]. The proper use of this
probe holder could also allow for adequate ultrasound
probe stabilization without external marker
tracking for post-processing correction, making this
probe holder suitable for field research",,"Derrick, D., Best, C.T., Fiasson, R. (2015) Non-metallic ultrasound probe holder for co-collection and co-registration with EMA. Glasgow, UK: International Congress of Phonetic Sciences (ICPhS 2015), 10-14 Aug 2015. Proceedings of the 18th International Congress of Phonetic Sciences (ICPhS 2015).",,,,"http://hdl.handle.net/10092/12319",,"en",,"University of Canterbury. New Zealand Institute of Language, Brain & Behaviour",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::20 - Language, Communication and Culture::2004 - Linguistics",,"Articulatory Phonetics||Phonetics methods||Ultrasound||Articulometry||Field Methods",,,"Non-metallic ultrasound probe holder for co-collection and co-registration with EMA","Conference Contributions - Published",,,,,"239518",,"12656237"
"12672","10092/5722","Davis, C.||Shaw, J.||Proctor, M.||Derrick, D.||Sherwood, S.||Kim, J.",,,,,"2015","The time to initiate naming a printed target word is
reduced when preceded by an identical masked
prime (match prime) or by one that has the same
initial letter (onset prime) compared to an all letter
different control. Masked priming has been
examined using vocal response time but offers an
opportunity to examine speech production dynamics
before the onset of speech acoustics. We tracked
tongue-dorsum, tongue-tip and lip motion from four
participants pronouncing 19 targets in match, onset
and unrelated control prime conditions. Control
primes were selected so their articulation involved a
different tongue gesture than the target. Prime
influence was measured by tongue-dorsum height at
gestural onset and peak velocity of the subsequent
gesture. Results showed that relative to targets in the
match condition, control targets had a significantly
different tongue dorsum height and the peak velocity
was greater when the subsequent gesture was
achieved.",,"Davis, C., Shaw, J., Proctor, M., Derrick, D., Sherwood, S., Kim, J. (2015) Examining speech production using masked priming. Glasgow, UK: 18th International Congress of Phonetic Sciences (ICPhS 2015), 10-14 Aug 2015. Proceedings of the 18th International Congress of Phonetic Sciences (ICPhs 2015).",,,,"http://hdl.handle.net/10092/10989",,"en",,"University of Canterbury. New Zealand Institute of Language, Brain & Behaviour",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,"http://www.icphs2015.info/pdfs/Papers/ICPHS0560.pdf","Field of Research::20 - Language, Communication and Culture::2004 - Linguistics::200404 - Laboratory Phonetics and Speech Science",,"speech production||masked priming||articulatory dynamics||articulation||EMA",,,"Examining speech production using masked priming",,,,,,"239518",,"12656235"
"17458","10092/8435","Febria CM",,,,,"2005",,,"Febria CM (2005). Patterns of hydrogen peroxide among lakes of the Mackenzie Delta and potential effects on bacterial production. Simon Fraser University. Burnaby, BC.",,,,"http://hdl.handle.net/10092/15018",,"en",,,,,,,,"Field of Research::05 - Environmental Sciences::0501 - Ecological Applications::050101 - Ecological Impacts of Climate Change||Field of Research::06 - Biological Sciences::0602 - Ecology::060204 - Freshwater Ecology||Field of Research::06 - Biological Sciences::0605 - Microbiology||Field of Research::03 - Chemical Sciences::0303 - Macromolecular and Materials Chemistry",,,,,"Patterns of hydrogen peroxide among lakes of the Mackenzie Delta and potential effects on bacterial production",,,"Theses / Dissertations",,,,,
"16250","10092/8435","Gilmour KL||Holzke J",,,,,"2017","Subject Librarians for the fields of Counselling, Human Services and Social Work are often asked for help with searching for literature related to social work with Māori clients and bicultural social work practice. This bibliography is an attempt to bring together research and literature of interest to social work professionals working with Māori in New Zealand.",,"Gilmour KL, Holzke J (2017). Bibliography : Social Work Pertaining to Māori in New Zealand: Ngā Mahi Toko I Te Ora O Te Iwi Māori 1990-2017.",,,,"http://hdl.handle.net/10092/13658",,"en",,,,,,,,"Field of Research::16 - Studies in Human Society::1607 - Social Work::160702 - Counselling, Welfare and Community Services||Field of Research::08 - Information and Computing Sciences::0807 - Library and Information Studies::080706 - Librarianship||Field of Research::16 - Studies in Human Society::1607 - Social Work::160701 - Clinical Social Work Practice",,,,"Ngā Mahi Toko I Te Ora O Te Iwi Māori 1990-2017","Bibliography : Social Work Pertaining to Māori in New Zealand : Ngā Mahi Toko I Te Ora O Te Iwi Māori 1990-2017",,,"Other",,,,,
"14864","10092/8435","Blackmore, N.J.||Reichau, S.||Jiao, W.||Hutton, R.D.||Baker, E.N.||Jameson, G.B.||Parker, E.J.",,,,,"2013","3-Deoxy-D-arabino-heptulosonate 7-phosphate synthase (DAH7PS) catalyzes the first step in the shikimate
pathway, the pathway responsible for the biosynthesis of the aromatic amino acids Trp, Phe, and Tyr. Unlike
many other organisms that produce up to three isozymes, each feedback-regulated by one of the aromatic
amino acid pathway end products, Mycobacterium tuberculosis expresses a single DAH7PS enzyme that can
be controlled by combinations of aromatic amino acids. This study shows that the synergistic inhibition of this
enzyme by a combination of Trp and Phe can be significantly augmented by the addition of Tyr.We used X-ray
crystallography, mutagenesis, and isothermal titration calorimetry studies to show that DAH7PS from M.
tuberculosis possesses a Tyr-selective site in addition to the Trp and Phe sites, revealing an unusual and
highly sophisticated network of three synergistic allosteric sites on one enzyme. This ternary inhibitory
response, by a combination of all three aromatic amino acids, allows a tunable response of the protein to
changing metabolic demands.",,"Blackmore, N.J., Reichau, S., Jiao, W., Hutton, R.D., Baker, E.N., Jameson, G.B., Parker, E.J. (2013) Three sites and you are out: Ternary synergistic allostery controls aromatic amino acid biosynthesis in Mycobacterium tuberculosis.. Journal of Molecular Biology, 425(9), pp. 1582-92.",,,,"http://hdl.handle.net/10092/12493",,"en",,"University of Canterbury. Biomolecular Interaction Centre","http://library.canterbury.ac.nz/ir/rights.shtml",,,,"http://dx.doi.org/10.1016/j.jmb.2012.12.019","Field of Research::03 - Chemical Sciences::0304 - Medicinal and Biomolecular Chemistry||Field of Research::11 - Medical and Health Sciences||Field of Research::06 - Biological Sciences",,,,,"Three sites and you are out: Ternary synergistic allostery controls aromatic amino acid biosynthesis in Mycobacterium tuberculosis.","Journal Articles",,,,"167723",,"12659942",
"14865","10092/8435","Zakkaroff, C.||Radjenovic, A.||Biglands, J. D.||Plein, S.||Greenwood, J. P.||Magee, D. R.",,,,,"2014","Background: It is generally acknowledged that the 17-segment AHA
model provides a suitable approximation for mapping
the results of X-ray angiography onto myocardial anatomy
in a consistent way in the absence of a more exact
method. In practice, coronary anatomy varies from
patient to patient which is acknowledged as the main
limitation of the AHA model. The aim of this study was
to establish whether the generation of a patient-specific
coronary artery to perfusion segment map improved
diagnosis of myocardial ischaemia.",,"Zakkaroff, C., Radjenovic, A., Biglands, J. D., Plein, S., Greenwood, J. P., Magee, D. R. (2014) Registration of Coronary MRA to DCE-MRI Myocardial Perfusion Series Improves Diagnostic Accuracy Through the Computation of Patient-Specific Coronary Supply Territories: A CE-MARC Sub-Study. Journal of Cardiovascular Magnetic Resonance.",,,,"http://hdl.handle.net/10092/12494",,"en",,"University of Canterbury. UC High Performance Computing","http://library.canterbury.ac.nz/ir/rights.shtml",,,,,"Field of Research::11 - Medical and Health Sciences::1102 - Cardiovascular Medicine and Haematology::110201 - Cardiology (incl. Cardiovascular Diseases)||Field of Research::09 - Engineering::0903 - Biomedical Engineering",,,,,"Registration of Coronary MRA to DCE-MRI Myocardial Perfusion Series Improves Diagnostic Accuracy Through the Computation of Patient-Specific Coronary Supply Territories: A CE-MARC Sub-Study","Journal Articles",,,,"241689",,"12660061",
"14866","10092/8435","Zakkaroff, C.||Radjenovic, A.||Biglands, J. D.||Plein, S.||Greenwood, J. P.||Magee, D. R.",,,,,"2014","The human interaction required for manual motion
correction/contouring of cardiac perfusion series
remains a significant obstacle to quantitative perfusion
gaining a wider acceptance in clinical practice. The use
of image registration for motion correction in perfusion
data offers a considerable time saving. Numerous registration
methods have been proposed, with evaluation
limited to the image registration accuracy. However, the
important clinical question is how do these methods
affect diagnosis? The aim of this study is to evaluate
perfusion series registration in terms of its affect on the
diagnostic accuracy of myocardial ischaemia.",,"Zakkaroff, C., Radjenovic, A., Biglands, J. D., Plein, S., Greenwood, J. P., &Magee, D. R. (2014) Automated Registration of Dynamic Contrast Enhanced DCE-MRI Cardiac Perfusion Achieves Comparable Diagnostic Accuracy to Manual Motion Correction: a CE-MARC sub-study. Journal of Cardiovascular Magnetic Resonance.",,,,"http://hdl.handle.net/10092/12495",,"en",,"University of Canterbury. UC High Performance Computing","http://library.canterbury.ac.nz/ir/rights.shtml",,,,,"Field of Research::11 - Medical and Health Sciences::1102 - Cardiovascular Medicine and Haematology::110201 - Cardiology (incl. Cardiovascular Diseases)||Field of Research::09 - Engineering::0903 - Biomedical Engineering",,,,,"Automated Registration of Dynamic Contrast Enhanced DCE-MRI Cardiac Perfusion Achieves Comparable Diagnostic Accuracy to Manual Motion Correction: a CE-MARC sub-study","Journal Articles",,,,"241689",,"12660063",
"14856","10092/8435",,"Reid, J.||Rout, M.",,"Anderson, T.",,"2016",,,"Reid, J., Rout, M. (2016) Maori tribal economy: Rethinking the original economic institutions. In T. Anderson (Ed.). Unlocking the Wealth of Indian Nations  (pp. 60-83). London: Lexington.",,,,,"http://hdl.handle.net/10092/12391","en",,"Lexington||University of Canterbury. Ngāi Tahu Research Centre","http://library.canterbury.ac.nz/ir/rights.shtml",,,,,"Field of Research::20 - Language, Communication and Culture::2002 - Cultural Studies::200207 - Māori Cultural Studies||Field of Research::20 - Language, Communication and Culture::2002 - Cultural Studies::200211 - Postcolonial Studies",,,,,"Maori tribal economy: rethinking the original economic institutions",,"Chapters",,,"146588",,"12661139",
"14858","10092/8435","Webster, J.G.",,,,,"2015","Two mines closed within 25yrs of each other, but with very different rehabilitation approaches.
Lack of rehabilitation has led to serious, long term sediment contamination at Tui… particularly Mn, Cd and Zn
Similar contamination of stream sediment would result from Golden Cross (Mn, Zn, As) but for ongoing WTP operation
Need to identify these potential geochemical legacy issues before mining, and design an effective rehabilitation plan (or not mine).",,"Webster, J.G. (2015) Mine remediation in New Zealand: Lessons from the (recent) past. Wellington, New Zealand: GeoSciences 2015, 24-27 Nov 2015.",,,,"http://hdl.handle.net/10092/12330",,"en",,"University of Canterbury. Waterways Centre for Freshwater Management","http://library.canterbury.ac.nz/ir/rights.shtml",,,,,"Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050207 - Environmental Rehabilitation (excl. Bioremediation)",,,,,"Mine remediation in New Zealand: Lessons from the (recent) past",,,,,"68024",,"12658913",
"14857","10092/8435","Derrick, D.||De Rybel, T.||Fiasson, R.",,,,,"2015",,,"Derrick, D., De Rybel, T., Fiasson, R. (2015) Recording and reproducing speech airflow outside the mouth. Halifax, Canada: Acoustics Week in Canada, 6-9 Oct 2015. Canadian Acoustics, 43, 3, 102-103.",,,,"http://hdl.handle.net/10092/12396",,"en",,"University of Canterbury. New Zealand Institute of Language, Brain & Behaviour","http://library.canterbury.ac.nz/ir/rights.shtml",,,,,"Field of Research::11 - Medical and Health Sciences::1116 - Medical Physiology||Field of Research::17 - Psychology and Cognitive Sciences::1702 - Cognitive Science::170204 - Linguistic Processes (incl. Speech Production and Comprehension)",,,,,"Recording and reproducing speech airflow outside the mouth","Conference Contributions - Published",,,,"239518",,"12657659",
"14867","10092/8435","Zakkaroff, C.||Radjenovic, A.||Biglands, J. D.||Plein, S.||Greenwood, J. P.||Magee, D. R.",,,,,"2014","Automated mage registration in cardiac myocardial perfusion
is a necessity before quantitative perfusion can be
widely accepted in clinical practice. Increasingly complex
motion correction algorithms are being developed
to deal with cardiac motion. However, the impact of
these improvements has not been evaluated in terms of
the final clinical diagnosis. Advanced motion correction
methods are associated with increased computational
overhead and the potential of introducing subtle registration
errors, which can be hard to detect and quantify.
The aim of this study was to compare the performance
of the various automated correction methods in terms
of their impact on diagnostic accuracy.",,"Zakkaroff, C., Radjenovic, A., Biglands, J. D., Plein, S., Greenwood, J. P., &Magee, D. R. (2014) A Comparison of Methods for Automated Motion Correction of DCE-MRI Perfusion Datasets Evaluated in Terms of Diagnostic Accuracy: A CE-MARC sub-study. Journal of Cardiovascular Magnetic Resonance.",,,,"http://hdl.handle.net/10092/12373",,"en",,"University of Canterbury. UC High Performance Computing","http://library.canterbury.ac.nz/ir/rights.shtml",,,,"http://dx.doi.org/10.1186%2F1532-429X-16-S1-P206","Field of Research::11 - Medical and Health Sciences::1102 - Cardiovascular Medicine and Haematology::110201 - Cardiology (incl. Cardiovascular Diseases)",,,,,"A Comparison of Methods for Automated Motion Correction of DCE-MRI Perfusion Datasets Evaluated in Terms of Diagnostic Accuracy: A CE-MARC sub-study","Journal Articles",,,,"241689",,"12660064",
"14868","10092/8435","Reid, J.D.||Varona, G.||Smith, C.||Fisher, M.",,,,,"2016","Maori tribal authorities have sought to measure the wellbeing of their people as a baseline for determining the extent to which their economic, social, and cultural goals are being achieved. In recent years, data from government-administered social surveys and/or censuses have become a significant source of information. Using the tribal authority of Te Runanga o Ngai Tahu (TRONT) as a case study, this paper explores and compares data concerning Ngai Tahu wellbeing contained in two recently completed TRONT reports: the Ngai Tahu State of the Nation 2015 report (a quantitative study derived from government-administered survey data); and, the preliminary findings from the Ngai Tahu Whenua Project (a qualitative study undertaken by TRONT). Both studies present similar results regarding levels of tribal economic wellbeing, however, they show different results in regards to levels of cultural wellbeing. The qualitative study reveals reasonably high levels of cultural engagement among participants. Conversely, the quantitative study demonstrates reasonably low levels of cultural engagement. The difference is explained in each study’s approach to understanding culture. The quantitative study viewed culture as engagement in ‘static’ cultural practices, whereas the qualitative study viewed Maori culture as a ‘lived’ set of deep networks and connections between individuals, their whanau (extended family), and places of symbolic cultural importance (particularly land and water). It is argued that measuring ‘lived’ culture would provide a better means of ascertaining cultural wellbeing. It is suggested that a useful means of measuring Maori lived culture would be to determine the quality and depth of relational networks.",,"Reid, J.D., Varona, G., Smith, C., Fisher, M. (2016) Understanding Maori ""lived"" culture to determine cultural connectedness and wellbeing. Journal of Population Research, 33(1), pp. 31-49.",,,,"http://hdl.handle.net/10092/12374",,"en",,"University of Canterbury. Ngai Tahu Research Centre","http://library.canterbury.ac.nz/ir/rights.shtml",,,,"http://dx.doi.org/10.1007/s12546-016-9165-0","Field of Research::16 - Studies in Human Society::1699 - Other Studies in Human Society::169904 - Studies of Māori Society",,"land loss||colonisation||Ngai Tahu Maori||health and wellbeing||identity||historical trauma",,,"Understanding Maori 'lived' culture to determine cultural connectedness and wellbeing.","Journal Articles",,,,"146588",,"12661138",
"14869","10092/8435","Kenney, C.||Phibbs, S.||Paton, D.||Reid, J.||Johnston, D.M.",,,,,"2015",,,"Kenney, C., Phibbs, S., Paton, D., Reid, J. &Johnston, D (2015) Community-led disaster risk management:  a Māori response to Ōtautahi (Christchurch) earthquakes. Australasian Journal of Disaster and Trauma Studies, 19(1), pp. 9-20.",,,,"http://hdl.handle.net/10092/12402",,"en",,"University of Canterbury. Ngāi Tahu Research Centre","http://library.canterbury.ac.nz/ir/rights.shtml",,,,"http://www.massey.ac.nz/~trauma/issues/2015-IRDR/AJDTS_19_IRDR_Kenney.pdf","Field of Research::17 - Psychology and Cognitive Sciences::1701 - Psychology::170113 - Social and Community Psychology||Field of Research::20 - Language, Communication and Culture::2002 - Cultural Studies::200207 - Māori Cultural Studies||Field of Research::11 - Medical and Health Sciences::1117 - Public Health and Health Services",,,,,"Community-led Disaster Risk Management: a Māori response to Ōtautahi (Christchurch) earthquakes","Journal Articles",,,,"146588",,"12661140",
"14862","10092/8435","Dormanns, K.||Brown, R.||David, T.",,,,,"2015","A numerical model of neurovascular coupling (NVC) is presented based on neuronal activity coupled to
vasodilation/contraction models via the astrocytic mediated perivascular K+ and the smooth muscle cell
(SMC) Ca2+ pathway termed a neurovascular unit (NVU). Luminal agonists acting on P2Y receptors
on the endothelial cell (EC) surface provide a flux of inositol trisphosphate (IP3) into the endothelial
cytosol. This concentration of IP3 is transported via gap junctions between EC and SMC providing a
10 source of sacroplasmic derived Ca2+ in the SMC. The model is able to relate a neuronal input signal
to the corresponding vessel reaction (contraction or dilation). A tissue slice consisting of blocks, each
of which contain an NVU is connected to a space filling H-tree, simulating a perfusing arterial tree
(vasculature) The model couples the NVUs to the vascular tree via a stretch mediated Ca2+ channel
on both the EC and SMC. The SMC is induced to oscillate by increasing an agonist flux in the EC
15 and hence increased IP3 induced Ca2+ from the SMC stores with the resulting calcium-induced calcium
release (CICR) oscillation inhibiting NVC thereby relating blood flow to vessel contraction and dilation
following neuronal activation. The coupling between the vasculature and the set of NVUs is relatively
weak for the case with agonist induced where only the Ca2+ in cells inside the activated area becomes
oscillatory however, the radii of vessels both inside and outside the activated area oscillate (albeit small
20 for those outside). In addition the oscillation profile differs between coupled and decoupled states with
the time required to refill the cytosol with decreasing Ca2+ and increasing frequency with coupling. The
solution algorithm is shown to have excellent weak and strong scaling. Results have been generated for
tissue slices containing up to 4096 blocks.",,"Dormanns, K., Brown, R.G, David, T. (2015) Neurovascular coupling: a parallel implementation. Frontiers in Computational Neuroscience, 9(109), pp. 17pp.",,,,"http://hdl.handle.net/10092/12454",,"en",,"University of Canterbury. UC High Performance Computing","http://library.canterbury.ac.nz/ir/rights.shtml",,,,"http://dx.doi.org/10.3389/fncom.2015.00109","Field of Research::11 - Medical and Health Sciences::1109 - Neurosciences",,"Neurovascular coupling||Neurovascular Unit||Parallel computing||Computational biology||Agonistic behaviour",,,"Neurovascular coupling: a parallel implementation","Journal Articles",,,,"55712||67734||277945",,"12657715",
"14870","10092/8435","Fisher, M.",,,,,"2015",,,"Fisher, M. (2015) Ngai Tahu and the New Zealand Treaty Settlement Process. Ngai Tahu Research Centre (NTRC), University of Canterbury, Christchurch, New Zealand: Conference for delegation from the Institute for Ethnic Studies, Yunnan University (China), 23 Mar 2015.",,,,"http://hdl.handle.net/10092/12401",,"en",,"University of Canterbury. Ngai Tahu Research Centre","http://library.canterbury.ac.nz/ir/rights.shtml",,,,,"Field of Research::18 - Law and Legal Studies::1802 - Māori Law::180203 - Te Tiriti O Waitangi (The Treaty of Waitangi)||Field of Research::16 - Studies in Human Society::1606 - Political Science::160608 - New Zealand Government and Politics",,,,,"Ngai Tahu and the New Zealand Treaty Settlement Process","Oral Presentations",,,,"242151",,"12654494",
"16841","10092/8435","Reid J||Rout M",,,,,"2016","© 2015, Springer Science+Business Media Dordrecht. Western consumers are increasingly demanding to know the provenance of their food. In New Zealand, Māori tribal enterprises are engaged in the food producing sectors of farming and fisheries and, like other businesses seeking to remain competitive in global markets, are responding to the demand for provenance through developing systems for communicating the origin of foods to consumers. However, Māori are doing this in their own way, in a manner that authentically reflects their own understanding of place and expresses an indigenous animist perspective. It is argued that an animist approach to provenancing provides an authentic means of connecting Western consumers to nature in circumstances where they have become psychologically and physically abstracted. Animism provides a relational way of understanding the world, through which food products emerge as animated representations of reciprocal place-based relationships. It is considered that this indigenous approach can provide ‘an antidote’ to the alienating effects of modernity, where food products are experienced as inert compositions of elements that can be replicated and produced anywhere via industrial processes. Furthermore, it can provide a touchstone for differentiating between authentic provenance and the cynical use of provenance marketing that exploits the needs of alienated individuals for connection to place. A case study of indigenous provenance, Ahikā Kai, is offered to explain and illustrate the theoretical perspectives provided.",,"Reid J, Rout M (2016). Getting to know your food: the insights of indigenous thinking in food provenance. Agriculture and Human Values. Journal of the Agriculture, Food, and Human Values Society. 33(early access online). 427-438.",,"0889-048X||1572-8366",,"http://hdl.handle.net/10092/15016",,"en",,,,,"This is a post-peer-review, pre-copyedit version of an article published in Agriculture and Human Values. The final authenticated version is available online at: http://dx.doi.org/10.1007/s10460-015-9617-8",,"https://doi.org/10.1007/s10460-015-9617-8","Field of Research::16 - Studies in Human Society::1601 - Anthropology::160104 - Social and Cultural Anthropology||Field of Research::16 - Studies in Human Society::1699 - Other Studies in Human Society::169904 - Studies of Māori Society",,,,,"Getting to know your food: the insights of indigenous thinking in food provenance",,,"Journal Article",,,,,
